ds,yhat,yhat_lower,yhat_upper
2020-07-09,334.7461672366157,333.5977027114328,335.86513870052204
2020-07-10,336.3747708644364,335.31424646143455,337.4301829218003
2020-07-11,337.0696268530394,335.9603421371053,338.2051387397578
2020-07-12,337.6038704611336,336.4450810248638,338.59554206917204
2020-07-13,337.66071313119454,336.66711680613497,338.7029574511846
2020-07-14,341.467085625373,340.42990572846617,342.61116971561313
2020-07-15,343.5575557745303,342.4664399422701,344.58175860722497
2020-07-16,342.1138409112053,341.0388730654255,343.2552420879478
2020-07-17,341.6591312385169,340.5752698892246,342.83798828856595
2020-07-18,341.36083320625994,340.27484491392784,342.3803542366305
2020-07-19,341.230058295829,340.1242083629719,342.3957784712153
2020-07-20,339.5486361434804,338.441073282924,340.67688000065556
2020-07-21,338.3854311785903,337.2545563672864,339.4370477079083
2020-07-22,337.8955003795268,336.93090110808,338.9219719381129
2020-07-23,338.2059496370063,337.1297954397158,339.2791823995516
2020-07-24,337.5138159556555,336.4711541976171,338.6267133964391
2020-07-25,335.8478837848075,334.8809668750526,336.92639716834356
2020-07-26,336.0017797937513,334.8999751754999,337.02637541578065
2020-07-27,335.9723883215916,334.90099905892475,337.10495924120244
2020-07-28,335.8452533030786,334.6962383816465,336.91638075148967
2020-07-29,336.5474227122297,335.5084128377128,337.5230572854674
2020-07-30,335.4707997350574,334.3980608321288,336.517417995127
2020-07-31,334.1677862602118,333.18957449640953,335.3346663905403
2020-08-01,334.0297890260716,332.9695117847005,335.0490262341382
2020-08-02,335.2250316353267,334.1720916793453,336.3847200969775
2020-08-03,334.56167884597147,333.5829440252031,335.70452768195423
2020-08-04,333.6879282095199,332.66296324928055,334.7703187884775
2020-08-05,332.67259882499224,331.5124146498019,333.76881160400836
2020-08-06,333.1256613987279,332.1122459580888,334.15687510307345
2020-08-07,334.82225940006566,333.7918905419261,335.88612385082814
2020-08-08,333.6568357454069,332.6326952448898,334.76701773789864
2020-08-09,333.84745448155627,332.76671139080815,334.83990094778795
2020-08-10,332.167979355606,331.09319854922376,333.21274379952325
2020-08-11,331.8999804251238,330.74577270624906,332.98395378271505
2020-08-12,332.25800235217673,331.3133151820397,333.47922437788804
2020-08-13,332.07569302299265,330.99602971505584,333.16355540190114
2020-08-14,334.31203714647245,333.24996433062176,335.3664379513866
2020-08-15,332.8513986662008,331.80876690463424,333.8913000152892
2020-08-16,330.5782759206132,329.4352576712929,331.7473860242011
2020-08-17,329.1106156946867,328.0503734727455,330.1192145618936
2020-08-18,328.9519037160993,327.88828139386203,329.9876940267337
2020-08-19,329.34670154007347,328.2739432237213,330.5283958507403
2020-08-20,330.08664065182296,328.910860688724,331.21326969301
2020-08-21,331.90968072433475,330.82842216603404,333.0692272646496
2020-08-22,331.6469618908964,330.5266642943865,332.7242173022371
2020-08-23,333.1474559786885,332.1031680782565,334.22979504339554
2020-08-24,335.08446471635335,334.0462659183338,336.2866612140441
2020-08-25,335.0322185069529,333.94703985142803,336.14967692496884
2020-08-26,333.18226408390086,332.18932097500306,334.35740521033415
2020-08-27,330.1435062722111,329.02215514730494,331.27400837436375
2020-08-28,328.8924305934569,327.7957667860986,330.00794330752404
2020-08-29,327.5000102139518,326.42814786927573,328.5842553220453
2020-08-30,326.30648314525087,325.26630532553895,327.34669345021376
2020-08-31,324.92931769343744,323.8226621397767,325.8867418365626
2020-09-01,324.5036120080641,323.4296644843052,325.5718804691376
2020-09-02,326.52939540990246,325.4836171774642,327.70847861499163
2020-09-03,327.02470485951903,325.9682479480876,328.10989724103064
2020-09-04,327.29920375396205,326.1834997289687,328.34672017371406
2020-09-05,326.67765620924655,325.5606418446779,327.65001468930257
2020-09-06,328.1713656368862,326.9547673555217,329.18360505304685
2020-09-07,326.8801985810801,325.8539348779813,327.88395357952606
2020-09-08,327.59188230205444,326.4307433268728,328.625469692592
2020-09-09,330.9102766317385,329.832315113429,331.9887323944984
2020-09-10,330.8408401447156,329.78074408553067,331.91544369333843
2020-09-11,332.16897123514826,331.00034898097664,333.35243941066716
2020-09-12,330.8725035427945,329.7475587194467,332.0209306853778
2020-09-13,330.987603270825,329.8535551563137,332.08630498094965
2020-09-14,331.836851575329,330.8218764703529,332.9087701776488
2020-09-15,331.5595554808771,330.54917799750825,332.56775117100284
2020-09-16,332.1511673109007,331.05767006390676,333.12819664458414
2020-09-17,331.55362287012065,330.49018852456976,332.54358623136415
2020-09-18,332.9666845649913,331.92579623409904,334.06427865888406
2020-09-19,332.52695543424863,331.5204342877866,333.66347837285866
2020-09-20,332.580903397976,331.5066936984608,333.601813674411
2020-09-21,332.9196262882141,331.81620249830695,333.9934407832495
2020-09-22,333.09622237044425,331.9511328364351,334.1907572279143
2020-09-23,332.632617805575,331.47297839563447,333.64688082509247
2020-09-24,330.20490187321406,329.064090361015,331.2270916929845
2020-09-25,331.59385850848713,330.5624335242548,332.7451526752734
2020-09-26,332.47239085265613,331.4710432682809,333.5471965917691
2020-09-27,331.14445226533684,330.10580203123925,332.34085651317594
2020-09-28,331.16561893134576,330.09388603124694,332.1789543922887
2020-09-29,332.4079933361798,331.33677606166503,333.4879853218264
2020-09-30,334.5034623257903,333.37706836059084,335.6573418461806
2020-10-01,337.180114275135,336.1423988085286,338.0977523959932
2020-10-02,344.8471796828417,343.7257320244442,345.9504298573519
2020-10-03,349.2402195466625,348.11818670974003,350.46838210774604
2020-10-04,352.6179521227645,351.62184591052574,353.7040002861989
2020-10-05,358.61337892713055,357.55664737286247,359.6292109781957
2020-10-06,361.22891747623396,360.14816852888845,362.3178547863311
2020-10-07,357.5093465653996,356.35118694701936,358.6336907456057
2020-10-08,353.30275113193125,352.30809932217454,354.4392060104371
2020-10-09,355.64617626351054,354.48122738686675,356.6961976427722
2020-10-10,347.6609838337111,346.55048108111885,348.78739596948714
2020-10-11,337.29574821290595,336.2186508665437,338.37426504848395
2020-10-12,334.19684491946504,333.16754053550915,335.2649216325382
2020-10-13,331.59425677298293,330.5574031239115,332.8027463031918
2020-10-14,330.5129523952972,329.4835740051054,331.6545778091425
2020-10-15,330.43326746904876,329.3615146510661,331.48774050417273
2020-10-16,334.2185085668074,333.1808529928325,335.3555282271323
2020-10-17,335.7427884718555,334.6620219549502,336.8785696369144
2020-10-18,339.8943580292499,338.851011247773,340.8957978486176
2020-10-19,346.13939166463325,344.93091074157167,347.17943424264047
2020-10-20,346.01895954008256,345.05919469603924,347.0094117584429
2020-10-21,344.601216542268,343.4312798022359,345.6813309874674
2020-10-22,345.569472076459,344.5345383177456,346.45668736210007
2020-10-23,347.1400495991721,346.038547179687,348.25733667258913
2020-10-24,339.08008306469884,337.9917863209909,340.1390326278251
2020-10-25,332.4823918036208,331.36296050478785,333.54632730351574
2020-10-26,335.14465092245035,334.0284647901681,336.19868053537834
2020-10-27,334.63404938226427,333.525432028298,335.73028428422214
2020-10-28,332.4125297836262,331.39287182655687,333.42743761127394
2020-10-29,335.1620535416654,333.96651314255854,336.3086513967891
2020-10-30,340.4359206349851,339.29424872903365,341.45998120430477
2020-10-31,339.47539887863013,338.40364152626194,340.54108511168783
2020-11-01,342.0241662898872,340.91080602189066,343.1326979410934
2020-11-02,348.32838017693797,347.2790183058226,349.42940681830186
2020-11-03,344.1849146858493,343.04553984219797,345.2276380303817
2020-11-04,340.07156859141,339.0384986657894,341.17989127949926
